date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-05-06,215.81,218.28,213.61,218.05,218.05,5054730.0,5054730.0,2.24,1.038,216.64667,"May 06, 21",0.01038,CRM,Technology
2021-05-05,218.82,218.93,214.84,215.4,215.4,2676462.0,2676462.0,-3.42,-1.563,216.39,"May 05, 21",-0.01563,CRM,Technology
2021-05-04,221.67,222.0,214.36,217.18,217.18,6776812.0,6776812.0,-4.49,-2.026,217.84667,"May 04, 21",-0.02026,CRM,Technology
2021-05-03,230.77,231.42,223.08,223.76,223.76,5117266.0,5117266.0,-7.01,-3.038,226.08667,"May 03, 21",-0.03038,CRM,Technology
2021-04-30,232.8,234.49,229.52,230.32,230.32,4555579.0,4555579.0,-2.48,-1.065,231.44333,"April 30, 21",-0.01065,CRM,Technology
2021-04-29,237.32,237.67,232.17,234.36,234.36,4146903.0,4146903.0,-2.96,-1.247,234.73333,"April 29, 21",-0.01247,CRM,Technology
2021-04-28,235.0,238.33,233.63,236.88,236.88,4203282.0,4203282.0,1.88,0.8,236.28,"April 28, 21",0.008,CRM,Technology
2021-04-27,235.46,235.84,231.91,234.21,234.21,3477159.0,3477159.0,-1.25,-0.531,233.98667,"April 27, 21",-0.00531,CRM,Technology
2021-04-26,234.04,235.8,232.44,235.46,235.46,3484643.0,3484643.0,1.42,0.607,234.56667,"April 26, 21",0.00607,CRM,Technology
2021-04-23,232.94,235.49,232.4,233.51,233.51,5502572.0,5502572.0,0.57,0.245,233.8,"April 23, 21",0.00245,CRM,Technology
2021-04-22,230.0,233.79,229.02,231.35,231.35,4851160.0,4851160.0,1.35,0.587,231.38667,"April 22, 21",0.00587,CRM,Technology
2021-04-21,227.11,230.79,226.67,230.56,230.56,3862643.0,3862643.0,3.45,1.519,229.34,"April 21, 21",0.01519,CRM,Technology
2021-04-20,230.0,231.45,226.89,227.96,227.96,4083684.0,4083684.0,-2.04,-0.887,228.76667,"April 20, 21",-0.00887,CRM,Technology
2021-04-19,230.83,232.2,228.87,230.5,230.5,4278600.0,4278600.0,-0.33,-0.143,230.52333,"April 19, 21",-0.00143,CRM,Technology
2021-04-16,234.0,234.0,229.89,231.91,231.91,5112984.0,5112984.0,-2.09,-0.893,231.93333,"April 16, 21",-0.00893,CRM,Technology
2021-04-15,229.87,233.08,229.5,233.0,233.0,5122449.0,5122449.0,3.13,1.362,231.86,"April 15, 21",0.01362,CRM,Technology
2021-04-14,232.850006,233.139999,227.660004,228.020004,228.020004,4617600.0,4617600.0,-4.83,-2.074,229.60667,"April 14, 21",-0.02074,CRM,Technology
